codemp;tipcont;tipmov;codart;fecmov;fecintro;orden;almace;seriel;ubicac;cant;prec;moves;clprfab;numdoc;posicion;impmov;pmedpon;tabauxidhis;tipo;datvar1;datvar2;datvar3;datvar4;datvar5;datvar6;feccad;premedpon;cantdobuni;numsec;tipfac;movmanual
001;0;4;MP014A;40556;40556;201101134866746;1;;S/U;4;0;S;00095;AL11-0022;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;CON00205;40556;40556;201101134871058;1;;S/U;10;0;S;00095;AL11-0022;2;0;0.01;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;CON00034;40556;40556;201101134873947;1;;S/U;60;0;S;00095;AL11-0022;3;0;0.04;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN218A;40557;40560;201101143562286;1;;S/U;2;1125;S;00076;AL11-0023;1;2250;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC005A;40554;40557;201101143631735;1;;S/U;1;0;S;00042;AL11-0012;4;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC010A;40555;40557;201101143680910;1;;S/U;1;98;S;00042;AL11-0017;3;98;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC010A;40555;40557;201101143737956;1;;S/U;1;0;S;00042;AL11-0018;3;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00652;40560;40560;201101174754722;1;;S/U;15;0;S;30131;AL11-0025;1;0;4.97;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00565;40560;40560;201101174756024;1;;S/U;15;0;S;30131;AL11-0025;2;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00565;40560;40560;201101174762663;1;;S/U;12;0;S;30131;AL11-0026;1;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00566;40560;40560;201101174763806;1;;S/U;12;0;S;30131;AL11-0026;2;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40561;40575;201101184037983;1;;S/U;24;240;S;00107;AL11-0027;1;5760;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;LM001E;40561;40561;201101184320949;1;;S/U;56;0;S;00107;AL11-0028;1;0;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;1;LAB00305;40561;40561;201101184779853;1;;S/U;1;67.18;E;00294;11/529050;1;67.18;0;0;P;;;;0;0;0;2958465;67.18;0;0;0;N
001;0;4;PN098AC05;40561;40569;201101185955904;1;;S/U;5;21;S;00095;AL11-0030;1;105;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN098AC07;40561;40569;201101185957917;1;;S/U;5;9;S;00095;AL11-0030;2;45;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN047AC05;40561;40569;201101185958799;1;;S/U;2;9;S;00095;AL11-0030;3;18;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN047AC06;40561;40569;201101185959788;1;;S/U;2;7;S;00095;AL11-0030;4;14;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;ILU00042;40561;40569;201101185962840;1;;S/U;17;3;S;00095;AL11-0030;5;51;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MUESTRAS ILU;40560;40561;201101186334835;1;;S/U;5;2.78;E;00086;2366130;1;13.9;0;0;P;;;;0;0;0;2958465;2.78;0;0;0;N
001;0;1;MIS00595;40560;40569;201101186375294;1;;S/U;110;2.36;E;00031;20110287;1;259.6;0;0;P;;;;0;0;0;2958465;2.36;0;0;0;N
001;0;4;PN133AK01;40562;40562;201101194436103;1;;S/U;3;0;S;30138;AL11-0035;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP047A;40562;40562;201101194440200;1;;S/U;5;0;S;30138;AL11-0035;3;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00595;40562;40562;201101194605078;1;;S/U;105;0;S;30130;AL11-0037;1;0;2.36;0;C;;;;0;0;0;2958465;2.36;0;0;0;N
001;0;4;MIS00565;40562;40562;201101194606172;1;;S/U;105;0;S;30130;AL11-0037;2;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP081A;40564;40564;201101195841341;1;;S/U;2;0;S;00054;AL11-0040;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;CON00080;40561;40563;201101203284280;1;;S/U;500;0.05;E;00285;A23;1;24;0.06;0;P;;;;0;0;0;2958465;0.03;0;0;0;N
001;0;1;CON00360;40561;40563;201101203286120;1;;S/U;500;0.05;E;00285;A23;2;24;0.05;0;P;;;;0;0;0;2958465;0.02;0;0;0;N
001;0;1;LAB00302;40561;40563;201101203327775;1;;S/U;10;2.45;E;10174;11201256;1;24.5;0;0;P;;;;0;0;0;2958465;2.45;0;0;0;N
001;0;1;LAB00303;40561;40563;201101203441747;1;;S/U;4;0;E;10045;X16004;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;LAB00304;40561;40563;201101203442131;1;;S/U;1;0;E;10045;X16004;2;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40563;40563;201101204701080;1;;S/U;4;240;S;30139;AL11-0042;1;960;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;MM012B;40563;40563;201101204729481;1;;S/U;1;0;S;00042;AL11-0043;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC011B;40563;40569;201101204748142;1;;S/U;1;79;S;00042;AL11-0043;2;79;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LAB00308;40563;40563;201101205442010;1;;S/U;4;0;S;30134;AL11-0044;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;CON00453;40561;40563;201101205654072;1;;S/U;50;3.1252;E;00102;AV1/108;1;156.26;0;0;P;;;;0;0;0;2958465;3.1252;0;0;0;N
001;0;1;EMB00043;40561;40563;201101205692436;1;;S/U;48;3.05;E;00214;5484;1;146.4;0;0;P;;;;0;0;0;2958465;3.05;0;0;0;N
